FID,Loc_name,Status,Score,Match_type,Match_addr,Addr_type,AddNum,AddNumFrom,AddNumTo,Side,StPreDir,StPreType,StName,StType,StDir,StAddr,City,Region,Postal,Country,X,Y,DisplayX,DisplayY,ARC_Single,EntityID,AGENCY,NAME,YOUTH_FACI,THRIRTYFIV,FRTHGRD_RE,AVAIL_STAF,BEST_TIMES,WEBSITE,PHONE_1,ORIG_ADDRE,AddressLin,Latitude,Longitude,AdminDistr,PostalCode,ADV_RES_RE,EKIP_VOUCH,
193,USA.PointAddress,M,100,A,"6005 Bayou Heron Rd, Moss Point, Mississippi, 39562",PointAddress,6005, , ,L, , ,Bayou Heron,Rd, ,6005 Bayou Heron Rd,Moss Point,Mississippi,39562,USA,-88.427252,30.42958,-88.428331,30.42922,"6005 Bayou Heron Road, Moss Point, MS, 39562",195, National Oceanic and Atmospheric Administration (NOAA),Grand Bay National Estuarine Research Reserve and National Wildlife Refuge,"restrooms, visitor center, environmental education facility, amphitheater, fishing pier, boat launch, access to trails and coastal areas (a.k.a., day use areas)",yes,"outdoor classroom, STEM program, outdoor recreation (group kayaking and boating opportunties)","Staff interpreters, volunteers, Education coordinator","Spring, Fall",http://grandbaynerr.org,228-475-7047,"6005 Bayou Heron Road, Moss Point, MS","6005 Bayou Heron Road, Moss Point, MS, 39562",30.42958,-88.427252,Mississippi,39562,Registration required for group educational programs,,
194,USA.PointAddress,M,100,A,"89 Depot Rd, Greenland, New Hampshire, 03840",PointAddress,89, , ,L, , ,Depot,Rd, ,89 Depot Rd,Greenland,New Hampshire,3840,USA,-70.896565,43.054638,-70.897741,43.05543,"89 Depot Road, Greenland, NH, 03840",196, National Oceanic and Atmospheric Administration (NOAA),Great Bay National Estuarine Research Reserve (GBNERR),"restrooms, visitor center, access to trails and the estuary (a.k.a., day use areas)",yes,"STEM program, Cultural heritage program","Staff interpreters, volunteers","Spring, Fall",http://www.greatbay.org,603-778-0015,"89 Depot Road, Greenland, NH","89 Depot Road, Greenland, NH, 03840",43.054638,-70.896565,New Hampshire,3840,Registration required for group educational programs,,
195,USA.PointAddress,M,96.71,A,"61907 Seven Devils Rd, Coos Bay, Oregon, 97420",PointAddress,61907, , ,R, , ,Seven Devils,Rd, ,61907 Seven Devils Rd,Coos Bay,Oregon,97420,USA,-124.337878,43.295424,-124.334421,43.29627,"61907 Seven Devils Road,  Charleston, OR  97420",197, National Oceanic and Atmospheric Administration (NOAA),South Slough National Estuarine Research Reserve,"restrooms, visitor center, environmental education facility, hiking and paddling trails, access to waterways and estuary shoreline (a.k.a., day use areas)",yes,"outdoor classroom, staff-led hikes, STEM program","Staff interpreters, educators","Winter, Spring, Summer, Fall",http://www.southsloughestuary.org,541-888- 5558 x27,"61907 Seven Devils Road, P.O. Box 5417, Charleston, OR","61907 Seven Devils Road,  Charleston, OR  97420",43.295424,-124.337878,Oregon,97420,Registration required for educational programs,,
196,USA.Postal,M,100,A,"98362, Port Angeles, Washington",Postal, , , , , , , , , , ,Port Angeles,Washington,98362,USA,-123.389077,48.097718,-123.389077,48.097718,"115 East Railroad, Port Angeles, WA  98362",198, National Oceanic and Atmospheric Administration (NOAA),Olympic Coast Discovery Center (Olympic Coast National Marine Sanctuary),"restrooms, visitor center",no,STEM program,"staff interpreters, volunteers",Summer,http://olympiccoast.noaa.gov/visitor/discoverycenter/discoverycenter.html,360-457-6622,"The Landing, 115 East Railroad, Port Angeles, WA","115 East Railroad, Port Angeles, WA  98362",48.097718,-123.389077,Washington,98362,Registration required for educational programs,,
197, ,U,0,A, , , , , , , , , , , , , ,Washington, , ,-124.415087,47.704593,0,0, ,199, National Oceanic and Atmospheric Administration (NOAA),Olympic Coast National Marine Sanctuary,"access to trails and beaches (a.k.a., day use areas)",no,"self-guided ocean recreation (whale watching, tide-pooling)",staff interpreters,"Winter, Spring, Summer, Fall",http://olympiccoast.noaa.gov/visitor,360-457-6622, , ,47.704593,-124.415087,Washington,98362,Registration required for educational programs, ,
198, ,U,0,A, , , , , , , , , , , , , ,Wisconsin, , ,-92.063858,46.722355,0,0, ,200, National Oceanic and Atmospheric Administration (NOAA),Lake Superior National Estuarine Research Reserve,"trails, access to estuary, waterways, and coastal areas (a.k.a., day use areas)",yes,"outdoor classroom, STEM program, History/SS/Cultural Heritage program",staff interpreters,"spring, fall",http://lsnerr.uwex.edu/,715-392-3141, , ,46.722355,-92.063858,Wisconsin,54880,Registration required for educational programs, ,
199,USA.StreetName,M,90.1,A,"Visitor Center Rd, Decatur, Alabama, 35601",StreetName, , , , , , ,Visitor Center,Rd, ,Visitor Center Rd,Decatur,Alabama,35601,USA,-86.946982,34.548684,-86.946982,34.548684,"3121 Visitor Center Road, Decatur, AL, 35603",201, U.S. Fish and Wildlife Service,Wheeler NWR,"Visitor center, auto driving route, trails, bicycling tour route",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photgraphy, hiking, bicycling, events","Y, w/park rangers, partners and volunteers","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Wheeler/,256-350-6639,"3121 Visitor Center Road, Decatur, AL","3121 Visitor Center Road, Decatur, AL, 35603",34.548684,-86.946982,Alabama,35603,No, ,
200,USA.PointAddress,M,100,A,"95 Sterling Hwy, Homer, Alaska, 99603",PointAddress,95, , ,R, , ,Sterling,Hwy, ,95 Sterling Hwy,Homer,Alaska,99603,USA,-151.541077,59.641642,-151.539741,59.64078,"95 Sterling Highway # 1, Homer, Alaska,   99603__",202, U.S. Fish and Wildlife Service,Alaska Maritime NWR,"Visitor Center, restrooms",Y,"education programs, visitor center, exhibits", ,March - November,http://www.fws.gov/refuge/Alaska_Maritime/visit/visitor_center.html,907-235-6546,"95 Sterling Highway # 1, Homer, Alaska","95 Sterling Highway # 1, Homer, Alaska,   99603__",59.641642,-151.541077,Alaska,0,No, ,
201,USA.AdminPlaces,M,100,A,"Soldotna, Alaska",Locality, , , , , , , , , , ,Soldotna,Alaska, ,USA,-151.089739,60.50043,-151.089739,60.50043,"P.O. Box 2139; Ski Hill Rd., Soldotna, AK, 99669",203, U.S. Fish and Wildlife Service,Kenai NWR,"visitor/education center, trails, outdoor recreation, restrooms",Y,"outdoor recreation, education programs, citizen science, volunteer stewardship programs","Y, with volunteers and partner organizations","Peak periods May through September, although activities are offered throughout the year",http://www.fws.gov/refuge/kenai/,907-260-2820,"P.O. Box 2139; Ski Hill Rd., Soldotna, AK","P.O. Box 2139; Ski Hill Rd., Soldotna, AK, 99669",60.50043,-151.089739,Alaska,99669,No, ,
202,USA.StreetAddress,M,92.43,A,"5531 W US 82, Crossett, Arkansas, 71635",StreetAddress,5531,5437,5563,L,W,US,82, , ,5531 W US 82,Crossett,Arkansas,71635,USA,-92.05715,33.148431,-92.05715,33.148431,"5531 US-82, Crossett, AR, 71635",204, U.S. Fish and Wildlife Service,Felsenthal NWR,Visitor Center w/exhibits,Y,"EE programs, exhibits; Sept. outdoor event/festival; annual clean-up event; limited hiking/observation","Y, with staff, volunteers and partner organizations","Peak periods September through May, although activities are offered throughout the year",http://www.fws.gov/refuge/Felsenthal/,(870) 364-3167,"5531 US-82, Crossett, AR","5531 US-82, Crossett, AR, 71635",33.148431,-92.05715,Arkansas,71635,No, ,
203,USA.StreetName,M,100,A,"Marshlands Rd, Fremont, California, 94555",StreetName, , , , , , ,Marshlands,Rd, ,Marshlands Rd,Fremont,California,94555,USA,-122.093261,37.529784,-122.093261,37.529784,"1 Marshlands Rd., Fremont, CA, 94555",205, U.S. Fish and Wildlife Service,Don Edwards San Francisco Bay NWR,"Visitor Center, trails, outdoor classrooms",Y,education/interpretive programs, ,Year round,http://www.fws.gov/refuge/don_edwards_san_francisco_bay/,510-792-0222,"1 Marshlands Rd., Fremont, CA","1 Marshlands Rd., Fremont, CA, 94555",37.529784,-122.093261,California,94555,No, ,
204,USA.StreetAddress,M,100,A,"1080 Gunpowder Point Dr, Chula Vista, California, 91910",StreetAddress,1080,1000,1098,R, , ,Gunpowder Point,Dr, ,1080 Gunpowder Point Dr,Chula Vista,California,91910,USA,-117.110887,32.639998,-117.110887,32.639998,"1080 Gunpowder Point Drive, Chula Vista, CA, 91910",206, U.S. Fish and Wildlife Service,San Diego Bay NWR,"Visitor center, education center, trails, observation platforms",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, w/park rangers, partners and volunteers","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/san_diego_bay/,(619) 476-9150,"1080 Gunpowder Point Drive, Chula Vista, CA","1080 Gunpowder Point Drive, Chula Vista, CA, 91910",32.639998,-117.110887,California,91910,No, ,
205,USA.StreetName,M,90.54,A,"Wolfsen Rd, Los Banos, California, 93635",StreetName, , , , , , ,Wolfsen,Rd, ,Wolfsen Rd,Los Banos,California,93635,USA,-120.812695,37.159191,-120.812695,37.159191,"7376 S. Wolfsen Road, Los Banos, CA, 93635",207, U.S. Fish and Wildlife Service,San Luis NWR,"Visitor center, education center, trails, auto tour route, observation platforms",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, w/park rangers and volunteers","Prime months September - June, but can visit year round",http://www.fws.gov/Refuge/San_Luis/,209/826-3508,"7376 S. Wolfsen Road, Los Banos, CA","7376 S. Wolfsen Road, Los Banos, CA, 93635",37.159191,-120.812695,California,93635,No, ,
206,USA.StreetName,M,100,A,"Gateway Rd, Commerce City, Colorado, 80022",StreetName, , , , , , ,Gateway,Rd, ,Gateway Rd,Commerce City,Colorado,80022,USA,-104.891357,39.811692,-104.891357,39.811692,"6550 Gateway Road, Commerce City, CO, 80022",208, U.S. Fish and Wildlife Service,Rocky Mountain Arsenal NWR,"Visitor center, education center, trails, driving route, fishing areas",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/rocky_mountain_arsenal/,303-289-0930,"6550 Gateway Road, Commerce City, CO","6550 Gateway Road, Commerce City, CO, 80022",39.811692,-104.891357,Colorado,80022,No,,
207,USA.StreetAddress,M,100,A,"11978 Turkle Pond Rd, Milton, Delaware, 19968",StreetAddress,11978,11700,12398,L, , ,Turkle Pond,Rd, ,11978 Turkle Pond Rd,Milton,Delaware,19968,USA,-75.253129,38.813505,-75.253129,38.813505,"11978 Turkle Pond Rd, Milton, DE, 19968",209, U.S. Fish and Wildlife Service,Prime Hook NWR,"Visitor center, trails, driving route",Y,"outdoor recreation, education programs,exhibits; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Prime_Hook/,302) 684-8419,"11978 Turkle Pond Rd, Milton, DE","11978 Turkle Pond Rd, Milton, DE, 19968",38.813505,-75.253129,Delaware,19968,No,,
208,USA.StreetAddress,M,100,A,"1 Wildlife Dr, Sanibel, Florida, 33957",StreetAddress,1,1,99,L, , ,Wildlife,Dr, ,1 Wildlife Dr,Sanibel,Florida,33957,USA,-82.153047,26.470669,-82.153047,26.470669,"1 Wildlife Drive, Sanibel, FL, 33957",210, U.S. Fish and Wildlife Service,J.N. Ding Darling NWR,"Visitor and Education Center, trails, auto tour route",Y,"education, exhibits, volunteer stewardship activities, recreation,","Y, with staff, volunteers and partner organizations",Year Round,http://www.fws.gov/refuge/jn_ding_darling/,239-472-1100,"1 Wildlife Drive, Sanibel, FL","1 Wildlife Drive, Sanibel, FL, 33957",26.470669,-82.153047,Florida,33957,No,,
209,USA.Postal,M,100,A,"32355, Saint Marks, Florida",Postal, , , , , , , , , , ,Saint Marks,Florida,32355,USA,-84.204818,30.15812,-84.204818,30.15812,"1255 Lighthouse Rd, St Marks, FL, 32355",211, U.S. Fish and Wildlife Service,St Marks NWR,"trails, education center, driving route, lighthouse, visitor center",Y,"education programs, exhibits,   recreation, photography programs","Y, with education specialists, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/st_marks/,(850) 925-6121,"1255 Lighthouse Rd, St Marks, FL","1255 Lighthouse Rd, St Marks, FL, 32355",30.15812,-84.204818,Florida,32355,No,,
210,USA.PointAddress,M,100,A,"2700 Suwannee Canal Rd, Folkston, Georgia, 31537",PointAddress,2700, , ,R, , ,Suwannee Canal,Rd, ,2700 Suwannee Canal Rd,Folkston,Georgia,31537,USA,-82.116802,30.739348,-82.116841,30.74,"2700 Suwannee Canal Road, Folkston, GA, 31537",212, U.S. Fish and Wildlife Service,Okefenokee NWR,"visitor center, trails, driving route",Y,"education program, exhibits, recreation, tours","Y, with staff, volunteers and partner organizations","Prime periods: spring and fall, but can visit year round",http://www.fws.gov/refuge/okefenokee/,(912) 496-7836,"2700 Suwannee Canal Road, Folkston, GA","2700 Suwannee Canal Road, Folkston, GA, 31537",30.739348,-82.116802,Georgia,31537,No,,
211,USA.Postal,M,96.99,A,"96754, Kilauea, Hawaii",Postal, , , , , , , , , , ,Kilauea,Hawaii,96754,USA,-159.406688,22.20447,-159.406688,22.20447,"P.O. Box 1128, Hawaii 96754",213, U.S. Fish and Wildlife Service,Kilauea Point NWR,"lighthouse, visitor center, short trails, overlook",Y,"education, exhibits, limited recreation, whale and bird watching","Y, with volunteers and partner organizations",fall through spring,http://www.fws.gov/refuge/kilauea_point/,(808)828-1413,P.O. Box 1128,"P.O. Box 1128, Hawaii 96754",22.20447,-159.406688,Hawaii,96754,No,,
212,USA.StreetName,M,100,A,"Upper Embankment Rd, Nampa, Idaho, 83686",StreetName, , , , , , ,Upper Embankment,Rd, ,Upper Embankment Rd,Nampa,Idaho,83686,USA,-116.66204,43.561808,-116.66204,43.561808,"Upper Embankment Rd, Nampa, ID, 83686",214, U.S. Fish and Wildlife Service,Deer Flat NWR,"visitor center, education center, trails, auto tour route",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/deerflat/,(208) 467-9278,"Upper Embankment Rd, Nampa, ID","Upper Embankment Rd, Nampa, ID, 83686",43.561808,-116.66204,Idaho,83686,No,,
213,USA.StreetAddress,M,100,A,"287 Westside Rd, Bonners Ferry, Idaho, 83805",StreetAddress,287,1,339,R, , ,Westside,Rd, ,287 Westside Rd,Bonners Ferry,Idaho,83805,USA,-116.415292,48.706669,-116.415292,48.706669,"287 Westside Rd., Bonners Ferry, ID, 83805",215, U.S. Fish and Wildlife Service,Kootenai NWR,"education center, trails, auto tour route",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/kootenai/,(208) 267-3888,"287 Westside Rd., Bonners Ferry, ID","287 Westside Rd., Bonners Ferry, ID, 83805",48.706669,-116.415292,Idaho,83805,No,,
214,USA.PointAddress,M,100,A,"8588 Route 148, Marion, Illinois, 62959",PointAddress,8588, , ,R, ,Route,148, , ,8588 Route 148,Marion,Illinois,62959,USA,-89.021607,37.719621,-89.021091,37.71955,"8588 Route 148, Marion, IL, 62959",216, U.S. Fish and Wildlife Service,Crab Orchard NWR,"Visitor center, education center, trails, driving route",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/crab_orchard/,618-997-3344,"8588 Route 148, Marion, IL","8588 Route 148, Marion, IL, 62959",37.719621,-89.021607,Illinois,62959,No,,
215,USA.Postal,M,100,A,"47274, Seymour, Indiana",Postal, , , , , , , , , , ,Seymour,Indiana,47274,USA,-85.89725,38.961397,-85.89725,38.961397,"12985 E. U.S. Hwy 50, Seymour, IN, 47274",217, U.S. Fish and Wildlife Service,Muscatatuck NWR,"Visitor center, trails, auto tour route, observation platforms",Y,"outdoor recreation, education programs, hiking; wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/muscatatuck/,812-522-4352,"12985 E. U.S. Hwy 50, Seymour, IN","12985 E. U.S. Hwy 50, Seymour, IN, 47274",38.961397,-85.89725,Indiana,47274,No,,
216,USA.StreetAddress,M,100,A,"1434 316th Ln, Missouri Valley, Iowa, 51555",StreetAddress,1434,1434,1498,R, , ,316th,Ln, ,1434 316th Ln,Missouri Valley,Iowa,51555,USA,-96.028382,41.548594,-96.028382,41.548594,"1434 316th Lane, Missouri Valley, IA , 51555",218, U.S. Fish and Wildlife Service,Desoto NWR,"visitor center, trails,  auto and bicycle tour route",Y,"outdoor recreation, education programs,exhibits; trails, events,  historic steamboat artifact collection","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Desoto/,712/388-4800,"1434 316th Lane, Missouri Valley, IA","1434 316th Lane, Missouri Valley, IA , 51555",41.548594,-96.028382,Iowa,51555,No,,
217,USA.StreetAddress,M,100,A,"9981 Pacific St, Prairie City, Iowa, 50228",StreetAddress,9981,10399,9601,L, , ,Pacific,St, ,9981 Pacific St,Prairie City,Iowa,50228,USA,-93.271715,41.555232,-93.271715,41.555232,"9981 Pacific St, Prairie City, IA, 50228",219, U.S. Fish and Wildlife Service,Neal Smith NWR,"visitor/education center, trails,  auto tour route",Y,"education programs, exhibits,    recreation, citizen science","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Neal_Smith/,(515) 994-3400,"9981 Pacific St, Prairie City, IA","9981 Pacific St, Prairie City, IA, 50228",41.555232,-93.271715,Iowa,50228,No,,
218,USA.StreetAddress,M,100,A,"6232 E 29th St N, Wichita, Kansas, 67220",StreetAddress,6232,6268,6096,R,E, ,29th,St,N,6232 E 29th St N,Wichita,Kansas,67220,USA,-97.264241,37.737609,-97.264241,37.737609,"6232 E 29th Street North, Wichita, KS, 67220",220, U.S. Fish and Wildlife Service,Great Plains Nature Center,"visitor/education center, trails,",Y,"education programs, exhibits,  limited  recreation","Y, with trained education specialists, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.gpnc.org/,316-683-5499,"6232 E 29th Street North, Wichita, KS","6232 E 29th Street North, Wichita, KS, 67220",37.737609,-97.264241,Kansas,67220,No,,
219,USA.Postal,M,100,A,"71203, Monroe, Louisiana",Postal, , , , , , , , , , ,Monroe,Louisiana,71203,USA,-92.042609,32.541212,-92.042609,32.541212,"480 Richland Pl, Monroe, LA, 71203",221, U.S. Fish and Wildlife Service,Black Bayou Lake NWR,"Visitor center, education center, amphitheater, arboretum, trails, observation platform",Y,"outdoor recreation, education programs,exhibits;  events, wildlife observation and photography","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/northlouisiana/blackbayoulake/,(318) 387-1114,"480 Richland Pl, Monroe, LA","480 Richland Pl, Monroe, LA, 71203",32.541212,-92.042609,Louisiana,71203,No,,
220,USA.StreetName,M,100,A,"Eagle Bend Pt, Bossier City, Louisiana, 71112",StreetName, , , , , , ,Eagle Bend,Pt, ,Eagle Bend Pt,Bossier City,Louisiana,71112,USA,-93.677535,32.445727,-93.677535,32.445727,"150 Eagle Bend Point,_Bossier City, LA, 71112",222, U.S. Fish and Wildlife Service,Red River NWR,"Visitor center, education center, trails, observation platform",Y,"outdoor recreation, education programs,exhibits;  events, wildlife observation and photography","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Red_River/,318-742-1219,"150 Eagle Bend Point,_Bossier City, LA","150 Eagle Bend Point,_Bossier City, LA, 71112",32.445727,-93.677535,Louisiana,71112,No,,
221,USA.PointAddress,M,99.28,A,"9 Water St, Rockland, Maine, 04841",PointAddress,9, , ,L, , ,Water,St, ,9 Water St,Rockland,Maine,4841,USA,-69.109085,44.099786,-69.109411,44.09975,"9 Water Street, Rockalnd, ME, 04841",223, U.S. Fish and Wildlife Service,Maine Coastal Islands NWR,Visitor Center,Y,Visitor Center and trails, ,March - November,http://www.fws.gov/refuge/maine_coastal_islands/,(207) 594-0600,"9 Water Street, Rockalnd, ME","9 Water Street, Rockalnd, ME, 04841",44.099786,-69.109085,Maine,4841,No,,
222,USA.StreetAddress,M,100,A,"321 Port Rd, Wells, Maine, 04090",StreetAddress,321,281,399,R, , ,Port,Rd, ,321 Port Rd,Wells,Maine,4090,USA,-70.547202,43.348219,-70.547202,43.348219,"321 Port Rd, Wells, ME, 04090",224, U.S. Fish and Wildlife Service,Rachel Carson NWR,"visitor contact station, trails,",Y,"education programs, recreation","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/rachel_carson/,(207) 646-9226,"321 Port Rd, Wells, ME","321 Port Rd, Wells, ME, 04090",43.348219,-70.547202,Maine,4090,No,,
223,USA.StreetAddress,M,100,A,"2145 Key Wallace Dr, Cambridge, Maryland, 21613",StreetAddress,2145,2141,2399,R, , ,Key Wallace,Dr, ,2145 Key Wallace Dr,Cambridge,Maryland,21613,USA,-76.122995,38.446976,-76.122995,38.446976,"2145 Key Wallace Drive, Cambridge, Maryland , 21613",225, U.S. Fish and Wildlife Service,Blackwater NWR,"visitor/education center, trails,  auto tour route, bicycling routes",Y,"outdoor recreation, education programs,exhibits; events","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round", ,410-228-2677,"2145 Key Wallace Drive, Cambridge, Maryland","2145 Key Wallace Drive, Cambridge, Maryland , 21613",38.446976,-76.122995,Maryland,21613,No,,
224,USA.StreetAddress,M,99.21,A,"10901 Scarlet Tanager Loop, Laurel, Maryland, 20708",StreetAddress,10901,10915,10901,L, , ,Scarlet Tanager,Loop, ,10901 Scarlet Tanager Loop,Laurel,Maryland,20708,USA,-76.799604,39.02748,-76.799604,39.02748,"10901 Scarlett Tanager Loop, Laurel, MD, 20708",226, U.S. Fish and Wildlife Service,Patuxent Research Refuge,"visitor/education center, trails,  auto tour route, outdoor classroom kiosks for educator materials and resources",Y,"outdoor recreation, education programs,exhibits;  events","Y, with volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/patuxent/,301-497-5763,"10901 Scarlett Tanager Loop, Laurel, MD","10901 Scarlett Tanager Loop, Laurel, MD, 20708",39.02748,-76.799604,Maryland,20708,No,,
225,USA.StreetAddress,M,100,A,"6 Plum Island Tpke, Newburyport, Massachusetts, 01950",StreetAddress,6,12,2,L, , ,Plum Island,Tpke, ,6 Plum Island Tpke,Newburyport,Massachusetts,1950,USA,-70.849333,42.799953,-70.849333,42.799953,"6 Plum Island Turnpike, Newburyport , MA, 01950",227, U.S. Fish and Wildlife Service,Parker River NWR,"visitor center, education center, auditorium, exhibits, auto tour route, trails, observation towers, outdoor recreation",Y,"outdoor recreation,   education programs,exhibits; hiking, wildlife observation and photography, events","Y, with staff, volunteers and partner organizations",Year round,http://www.fws.gov/refuge/parker_river/,978-465-5753,"6 Plum Island Turnpike, Newburyport , MA","6 Plum Island Turnpike, Newburyport , MA, 01950",42.799953,-70.849333,Massachusetts,1950,No,,
226,USA.StreetAddress,M,100,A,"73 Weir Hill Rd, Sudbury, Massachusetts, 01776",StreetAddress,73,1,99,L, , ,Weir Hill,Rd, ,73 Weir Hill Rd,Sudbury,Massachusetts,1776,USA,-71.375407,42.401233,-71.375407,42.401233,"73 Weir Hill Road, Sudbury, MA, 01776",228, U.S. Fish and Wildlife Service,Eastern Massachussetts NWR Complex,"Visitor Center, trails",Y,"outdoor recreation,   education programs,exhibits; hiking, events","Yes, intermittent guides available at Assabet River NWR and Concord unit","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Great_Meadows/About_the_Complex.html,978-443-4661,"73 Weir Hill Road, Sudbury, MA","73 Weir Hill Road, Sudbury, MA, 01776",42.401233,-71.375407,Massachusetts,1776,No,,
227,USA.StreetAddress,M,100,A,"103 E Plumtree Rd, Sunderland, Massachusetts, 01375",StreetAddress,103,199,53,L,E, ,Plumtree,Rd, ,103 E Plumtree Rd,Sunderland,Massachusetts,1375,USA,-72.535508,42.43237,-72.535508,42.43237,"103 E. Plumtree Road, Sunderland, MA , 01375",229, U.S. Fish and Wildlife Service,Silvio Conte NWR,"visitor/education center, trails",Y,"education, exhibits, volunteer stewardship activities, limited recreation, Adopt-a-Habitat program","Y, staff and volunteer, partners at Great Falls Discovery Center, Turners Falls","Prime months October - June, but can visit year round",http://www.fws.gov/refuge/Silvio_O_Conte/,413-548-8002,"103 E. Plumtree Road, Sunderland, MA","103 E. Plumtree Road, Sunderland, MA , 01375",42.43237,-72.535508,Massachusetts,1375,No,,
228,USA.StreetAddress,M,100,A,"1674 Refuge Entrance Rd, Seney, Michigan, 49883",StreetAddress,1674,1670,1678,R, , ,Refuge Entrance,Rd, ,1674 Refuge Entrance Rd,Seney,Michigan,49883,USA,-85.945702,46.28821,-85.945702,46.28821,"1674 Refuge Entrance Rd., Seney, MI , 49883",230, U.S. Fish and Wildlife Service,Seney NWR,"Visitor center, trails, observation platform",Y,"outdoor recreation,   education programs,exhibits; hiking, wildlife observation and photography, events","Y, seasonal w/limited staff, volunteers and partner organizations",Prime months April - November; but school groups can visit year round,http://www.fws.gov/refuge/Seney/,906-586-9851,"1674 Refuge Entrance Rd., Seney, MI","1674 Refuge Entrance Rd., Seney, MI , 49883",46.28821,-85.945702,Michigan,49883,No,,
229,USA.PointAddress,M,89.74,A,"602 MN 210 E, Fergus Falls, Minnesota, 56537",PointAddress,602, , ,R, ,MN,210, ,E,602 MN 210 E,Fergus Falls,Minnesota,56537,USA,-96.064958,46.266323,-96.064121,46.26526,"602 State Highway 210E, Fergus Falls, MN , 56537",231, U.S. Fish and Wildlife Service,Prairie Wetlands Learning Center,"education center, trails",Y,"outdoor recreation, education programs,exhibits; hiking, wildlife observation and photography, snowshoeing, events","Y, with staff, education specialists, and volunteers and partner organizations",Year round,http://www.fws.gov/refuge/fergus_falls_wmd/,218-739-2291,"602 State Highway 210E, Fergus Falls, MN","602 State Highway 210E, Fergus Falls, MN , 56537",46.266323,-96.064958,Minnesota,56537,No,,
230,USA.StreetAddress,M,100,A,"7200 Crane Ln, Gautier, Mississippi, 39553",StreetAddress,7200,7678,7200,L, , ,Crane,Ln, ,7200 Crane Ln,Gautier,Mississippi,39553,USA,-88.656079,30.451045,-88.656079,30.451045,"7200 Crane Lane, Gautier, MS, 39553",232, U.S. Fish and Wildlife Service,MS Sandhill Crane NWR,"Visitor center, auditorium,  trails",Y,"outdoor recreation, education programs,exhibits; hiking, wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/mississippi_sandhill_crane/,228-497-6322,"7200 Crane Lane, Gautier, MS","7200 Crane Lane, Gautier, MS, 39553",30.451045,-88.656079,Mississippi,39553,No,,
231,USA.StreetName,M,100,A,"Bluff Lake Rd, Brooksville, Mississippi, 39739",StreetName, , , , , , ,Bluff Lake,Rd, ,Bluff Lake Rd,Brooksville,Mississippi,39739,USA,-88.778641,33.267679,-88.778641,33.267679,"13723 Bluff Lake Road, Brooksville, Mississippi , 39739",233, U.S. Fish and Wildlife Service,Sam D Hamilton Noxubee NWR,"Visitor center, education center, trails, observation platforms",Y,"outdoor recreation, education programs,exhibits; hiking, wildlife observation and photography, events","Y, with staff, volunteers and partner organizations","Prime months September - June, but can visit year round",http://www.fws.gov/refuge/Noxubee/,662-323-5548,"13723 Bluff Lake Road, Brooksville, Mississippi","13723 Bluff Lake Road, Brooksville, Mississippi , 39739",33.267679,-88.778641,Mississippi,39739,No,,
