FEDERAL RECREATION AREA/SITE,PHONE,CITY,STATE,WEBSITE,ANNUAL SENIOR,ACCESS MILITARY 4th GRADE
Payette NF - New Meadows District,208-347-0300,New Meadows,ID,http://www.fs.fed.us/r4/payette/contact/index.shtml,YES,YES
Payette NF - Weiser District,208-549-4200,Weiser,ID,http://www.fs.fed.us/r4/payette/contact/index.shtml,YES,YES
Pocatello Field Office - BLM,208-478-6340,Pocatello,ID,http://www.blm.gov/id/st/en/fo/pocatello.html,YES,YES
Salmon Field Office - BLM,208-756-5400,Salmon,ID,http://www.blm.gov/id/st/en/fo/salmon.html,YES,YES
Salmon-Challis NF - Challis/Yankee Fork District,208-879-4100,Challis,ID,http://www.fs.fed.us/r4/sc/yankeefork/index.shtml,YES,YES
Salmon-Challis NF - Leadore District,208-768-2500,Leadore,ID,http://www.fs.fed.us/r4/sc/leadore/index.shtml,YES,YES
Salmon-Challis NF - Lost River District,208-588-3400,Mackay,ID,http://www.fs.fed.us/r4/sc/lostriver/index.shtml,YES,YES
Salmon-Challis NF - Main Office,208-756-5100,Salmon,ID,http://www.fs.fed.us/r4/sc/contact/,YES,YES
Salmon-Challis NF - Middle Fork District,208-879-4101,Challis,ID,http://www.fs.fed.us/r4/sc/contact/,YES,YES
Salmon-Challis NF - North Fork District,208-865-2700,North Fork,ID,http://www.fs.fed.us/r4/sc/contact/,YES,YES
Sawtooth National Recreation Area,208-727-5000,Ketchum,ID,http://www.fs.fed.us/r4/sawtooth/contact/,YES,YES
Sawtooth NF - Fairfield District,208-764-3202,Fairfield,ID,http://www.fs.fed.us/r4/sawtooth/contact/,YES,YES
Sawtooth NF - Ketchum District,208-622-5371,Ketchum,ID,http://www.fs.fed.us/r4/sawtooth/contact/,YES,YES
Sawtooth NF - Main Office,208-737-3200,Twin Falls,ID,http://www.fs.fed.us/r4/sawtooth/contact/,YES,YES
Sawtooth NF - Minidoka District,208-678-0430,Burley,ID,http://www.fs.fed.us/r4/sawtooth/contact/,YES,YES
Sawtooth NF - Stanley District,208-774-3000,Stanley,ID,http://www.fs.fed.us/r4/sawtooth/contact/,YES,YES
Shoshone Field Office - BLM,208-732-7200,Shoshone,ID,http://www.blm.gov/id/st/en/fo/shoshone.html,YES,YES
Twin Falls District Office - BLM,208-735-2060,Twin Falls,ID,http://www.blm.gov/id/st/en/info/directory.html,YES,YES
Upper Snake Field Office - BLM,208-524-7500,Idaho Falls,ID,http://www.blm.gov/id/st/en/fo/upper_snake.html,YES,YES
Carlyle Lake,618-594-2484,Carlyle,IL,http://www.mvs.usace.army.mil/Missions/Recreation/CarlyleLake.aspx,YES,YES
Crab Orchard National Wildlife Refuge,618-997-3344,Marion,IL,http://www.fws.gov/midwest/CrabOrchard/,YES,YES
Cypress Creek National Wildlife Refuge,618-634-2231,Ullin,IL,http://www.fws.gov/midwest/CypressCreek/,NO,YES
Kaskaskia L&D,618-284-7160,Modoc,IL,http://www.mvs.usace.army.mil/Missions/Recreation/KaskaskiaRiverProject.aspx,YES,YES
Lake Shelbyville,217-774-3951,Shelbyville,IL,http://www.mvs.usace.army.mil/Missions/Recreation/LakeShelbyville.aspx,YES,YES
Lincoln Home National Historic Site,217-391-3226,Springfield,IL,http://www.nps.gov/liho/,YES,YES
Midewin National Tallgrass Prairie, 815-423-6370,Wilmington,IL,http://www.fs.fed.us/mntp/,YES,YES
National Great Rivers,618-462-6979,Alton,IL,http://www.mvs.usace.army.mil/Missions/Recreation/RiversProjectOffice/NGRM.aspx,YES,YES
Rend Lake,618-724-2493,Benton,IL,http://www.mvs.usace.army.mil/Missions/Recreation/RendLake.aspx,YES,YES
Shawnee NF - Hidden Springs District,618-658-2111,Vienna,IL,http://www.fs.fed.us/r9/forests/shawnee/districts/east/,YES,YES
Shawnee NF - Main Office,618-253-7114,Harrisburg,IL,http://www.fs.fed.us/r9/forests/shawnee/,YES,YES
Shawnee NF - Mississippi Bluffs District,618-833-8576,Jonesboro,IL,http://www.fs.fed.us/r9/forests/shawnee/districts/west/,YES,YES
Two Rivers National Wildlife Refuge,618-883-2524,Brussles,IL,http://www.fws.gov/midwest/TwoRivers/,YES,YES
Upper Mississippi River National Wildlife & Fish Refuge - Savannah District,815-273-2732,Thomson,IL,http://www.fws.gov/midwest/UpperMIssissippiRiver/,NO,YES
Big Oaks National Wildlife Refuge,812-273-0783,Madison,IN,http://www.fws.gov/midwest/bigoaks/,NO,YES
Brookville Lake,765-647-6701,Brookville,IN,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/BrookvilleLake.aspx,YES,YES
Cagles Mill Lake,765-795-4439,Poland,IN,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CaglesMillLake.aspx,YES,YES
Cecil M. Harden Lake,765-344-1570,Rockville,IN,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CecilMHardenLake.aspx,YES,YES
Hoosier National Forest,812-275-5987,Bedford,IN,http://www.fs.fed.us/r9/hoosier/,YES,YES
Indiana Dunes National Lakeshore,219 926 7561,Porter,IN,http://www.nps.gov/indu/,YES,YES
Lincoln Boyhood National Memorial,812 937 4541,Lincoln City,IN,http://www.nps.gov/libo/,YES,YES
Monroe Lake,812-824-9136,Bloomington,IN,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/MonroeLake.aspx,YES,YES
Muscatatuck National Wildlife Refuge,812-522-4352,Seymour,IN,http://www.fws.gov/midwest/muscatatuck/,YES,YES
Patoka Lake,812-678-3761,Dubois,IN,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/PatokaLake.aspx,YES,YES
Big Hill Lake,620-336-2741,Cherryvale,KS,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/BigHillLake.aspx,YES,YES
Cimarron National Grassland,620-697-4621,Elkhart,KS,http://www.fs.fed.us/r2/psicc/cim/,YES,YES
Clinton Lake Project,785-843-7665,Lawrence,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/ClintonLake.aspx,YES,YES
Council Grove Lake,629-767-5195,Council Grove,KS,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/CouncilGroveLake.aspx,YES,YES
Elk City Lake,620-336-2741,Cherryvale,KS,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/ElkCityLake.aspx,YES,YES
Fall River Lake,620-336-3901,Fall River,KS,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/FallRiverLake.aspx,YES,YES
Great Plains Nature Center - FWS,316-683-5499 ,Wichita,KS,http://www.gpnc.org/,NO,YES
Hillsdale Lake Project,913-783-4366,Paola,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/HillsdaleLake.aspx,YES,YES
John Redmond Lake,620-364-8613,Burlington,KS,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/JohnRedmondReservoir.aspx,YES,YES
Kanopolis Lake Project,785-546-2294,Marquette,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/KanopolisLake.aspx,YES,YES
Marion Lake,620-382-2101,Marion,KS,http://www.swt.usace.army.mil/Locations/TulsaDistrictLakes/Kansas/MarionReservoir.aspx,YES,YES
Melvern Lake Project,785-549-3318,Melvern,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/MelvernLake.aspx,YES,YES
Milford Lake Project,785-238-5714,Junction City,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/MilfordLake.aspx,YES,YES
Perry Lake Project,785-597-5144,Perry,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/PerryLake.aspx,YES,YES
Pomona Lake Project,785-453-2201,Vassar,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/PomonaLake.aspx,YES,YES
Quivira National Wildlife Refuge,620-486-2393,Stafford,KS,http://www.fws.gov/quivira/,NO,YES
Tuttle Creek Lake Project,785-539-8511,Manhattan,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/TuttleCreekLake.aspx,YES,YES
Wilson Lake Project,785-658-2551,Sylvan Grove,KS,http://www.nwk.usace.army.mil/Locations/DistrictLakes/WilsonLake.aspx,YES,YES
Abraham Lincoln Birthplace NHS,270-358-3137,Hodgenville,KY,http://www.nps.gov/abli/,NO,YES
Barren River Lake,270-646-2055,Glasgow ,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/BarrenRiverLake.aspx,YES,YES
Big South Fork National River & Recreation Area ,606-376-3787,Stearns,KY,http://www.nps.gov/biso/planyourvisit/visitorcenters.htm,YES,YES
Buckhorn Lake,606-398-7251,Buckhorn,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/BuckhornLake.aspx,YES,YES
Carr Creek Lake,606-642-3308,Sassafras,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CarrCreekLake.aspx,YES,YES
Cave Run Lake,606-784-9709,Morehead,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/CaveRunLake.aspx,YES,YES
Cumberland Gap National Historical Park,606-248-2817,Middlesboro,KY,http://www.nps.gov/cuga/,YES,YES
Daniel Boone NF - Cumberland District,606-663-2852,Stanton,KY,www.fs.fed.us/r8/boone/districts,NO,YES
Daniel Boone NF - London District,606-864-4163,London,KY,www.fs.fed.us/r8/boone/districts,NO,YES
Daniel Boone NF - Main Office,859-745-3100,Winchester,KY,www.fs.fed.us/r8/boone/districts,YES,YES
Daniel Boone NF - Redbird District,606-598-2192,Big Creek,KY,www.fs.fed.us/r8/boone/districts,YES,YES
Daniel Boone NF - Stearns District,606-376-5323,Whitley City,KY,www.fs.fed.us/r8/boone/districts,NO,YES
Dewey Lake,606-789-4521,Van Lear,KY,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/Kentucky/DeweyLake.aspx,YES,YES
Fishtrap Lake,606-437-7496,Shelbiana,KY,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/Kentucky/FishtrapLake.aspx,YES,YES
Grayson Lake,606-474-5815,Grayson,KY,http://www.lrh.usace.army.mil/Missions/CivilWorks/Recreation/Kentucky.aspx,YES,YES
Green River Lake,270-465-4463,Campbellsville,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/GreenRiverLake.aspx,YES,YES
Lake Barkley ,270-362-4236,Grand Rivers,KY,http://www.lrn.usace.army.mil/Locations/Lakes/LakeBarkley.aspx,YES,YES
Lake Cumberland,606-679-6337,Somerset,KY,http://www.lrn.usace.army.mil/Locations/Lakes/LakeCumberland.aspx,YES,YES
Land Between the Lakes,270-924-2000,Golden Pond,KY,www.lbl.org/ContactUs.html,NO,YES
Laurel River Lake,606-864-6412,London,KY,http://www.lrn.usace.army.mil/Locations/Lakes/LaurelRiverLake.aspx,YES,YES
Mammoth Cave National Park,270-758-2417,Mammoth Cave,KY,http://www.nps.gov/maca/,NO,YES
Martins Fork Lake,606-573-7655,Smith,KY,http://www.lrn.usace.army.mil/Locations/Lakes/MartinsForkLake.aspx,YES,YES
Nolin River Lake,270-286-4511,Bee Spring,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/NolinRiverLake.aspx,YES,YES
Rough River Lake,270-257-2061,Falls of Rough,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/RoughRiverLake.aspx,YES,YES
Taylorsville Lake,502-477-8882,Taylorsville,KY,http://www.lrl.usace.army.mil/Missions/CivilWorks/Recreation/Lakes/TaylorsvilleLake.aspx,YES,YES
Wolf Creek National Fish Hatchery,270-343-3797,Jamestown,KY,http://www.fws.gov/wolfcreek/,YES,YES
Bayou Bodcau,318-949-1804,Monroe,LA,http://www.mvk.usace.army.mil/Missions/Recreation/BayouBodcau.aspx,YES,YES
Black Bayou Lake NWR,318-387-1114,Monroe,LA,http://www.fws.gov/northlouisiana/blackbayoulake/,NO,YES
"Columbia Pool, Ouachita-Black Rivers",318-322-6391,Monroe,LA,http://www.mvk.usace.army.mil/Missions/Recreation/OuachitaBlackRiver.aspx,YES,YES
"Felsenthal Pool, Ouachita-Black Rivers",318-322-6391,Monroe,LA,http://www.mvk.usace.army.mil/Missions/Recreation/OuachitaBlackRiver.aspx,YES,YES
J. Bennett Johnston Waterway,318-322-6391,Monroe,LA,http://www.mvk.usace.army.mil/Missions/Recreation/JBennettJohnstonWaterway.aspx,YES,YES
"Jonesville Pool, Ouachita-Black Rivers",318-322-6391,Monroe,LA,http://www.mvk.usace.army.mil/Missions/Recreation/OuachitaBlackRiver.aspx,YES,YES
Kisatchie NF - Calcasieu District,318-793-9427,Boyce,LA,http://www.fs.fed.us/r8/kisatchie/contact/index.html,YES,YES
Kisatchie NF - Caney District,318-927-2061,Homer,LA,http://www.fs.fed.us/r8/kisatchie/contact/index.html,YES,YES
Kisatchie NF - Catahoula District,318-765-3554,Bentley,LA,http://www.fs.fed.us/r8/kisatchie/contact/index.html,YES,YES
Kisatchie NF - Kisatchie District,318-472-1840,Provencal,LA,http://www.fs.fed.us/r8/kisatchie/contact/index.html,YES,YES
Kisatchie NF - Main Office,318-473-7160,Pineville,LA,http://www.fs.fed.us/r8/kisatchie/contact/index.html,YES,YES
Kisatchie NF - Winn District,318-628-4664,Winnfield,LA,http://www.fs.fed.us/r8/kisatchie/contact/index.html,YES,YES
Adams National Historical Park,617-770-1175,Quincy,MA,http://www.nps.gov/adam,YES,YES
Assabet River NWR,978-562-3527,Sudbury,MA,http://www.fws.gov/refuge/assabet_river/,YES,YES
Boston National Historical Park,617-242-5642,Boston,MA,http://www.nps.gov/bost,NO,YES
Buffumville Lake,"508-248-5697
",Charlton,MA,http://www.nae.usace.army.mil/Missions/Recreation/BuffumvilleLake.aspx,YES,YES
Cape Cod National Seashore - Provincelands V.C.,508-487-1256,Provincetown,MA,http://www.nps.gov/caco,YES,YES
Cape Cod National Seashore - Salt Pond V.C.,508-255-3421,Eastham,MA,http://www.nps.gov/caco,YES,YES
Knightville Dam,413-667-3430,Huntington,MA,http://www.nae.usace.army.mil/Missions/Recreation/KnightvilleDam.aspx,YES,YES
Lowell National Historical Park,978-970-5000,Lowell,MA,http://www.nps.gov/lowe,YES,YES
Minute Man National Historical Park,978-369-6993,Concord,MA,http://www.nps.gov/mima,YES,YES
Monomoy NWR,508-945-0594,Chatham,MA,http://www.fws.gov/northeast/monomoy/,YES,YES
New Bedford Whaling National Historical Park,508-996-4095,New Bedford,MA,http://www.nps.gov/nebe,YES,YES
Parker River National Wildlife Refuge,978-465-5753,Newburyport,MA,http://www.fws.gov/northeast/parkerriver,YES,YES
Springfield Armory National Historic Site,413-734-8551,Springfield,MA,http://www.nps.gov/spar,YES,YES
West Hill Dam,508-278-2511,Uxbridge,MA,http://www.nae.usace.army.mil/Missions/Recreation/WestHillDam.aspx,YES,YES
Antietam National Battlefield,301-432-5124,Sharpsburg,MD,http://www.nps.gov/anti/,YES,YES
Assateague Island National Seashore,410-641-1441,Berlin,MD,http://www.nps.gov/asis,YES,YES
Blackwater NWR,410-228-2677,Cambridge,MD,http://www.fws.gov/refuge/blackwater/,YES,YES
Catoctin Mountain Park,301-663-9330 ,Thurmont,MD,http://www.nps.gov/cato/,NO,YES
Chesapeake & Ohio Canal NHP,301-739-4200,Hagerstown,MD,http://www.nps.gov/choh,YES,YES
Fort McHenry National Monument,410-962-4290,Baltimore,MD,http://www.nps.gov/fomc/,YES,YES
Fort Washington Park ,301-763-4600,Washington,MD,http://www.nps.gov/fowa/,YES,YES
Fort Washington Park ,301-763-4600,Ft. Washington,MD,http://www.nps.gov/fowa,YES,YES
Greenbelt Park ,301-344-3948,Greenbelt,MD,http://www.nps.gov/gree/index.htm,YES,YES
Acadia National Park,207-288-3338,Bar Harbor,ME,http://www.nps.gov/acad/,YES,YES
Hiawatha NF - Main Office,906-786-4062,Escanaba,MI,http://www.fs.fed.us/r9/forests/hiawatha/,YES,YES
Hiawatha NF - Munising,906-387-2512,Munising,MI,http://www.fs.fed.us/r9/forests/hiawatha/,YES,YES
Hiawatha NF - Rapid River District,906-341-5666,Manistique,MI,http://www.fs.fed.us/r9/forests/hiawatha/,YES,YES
Hiawatha NF - Rapid River/Manistique District,906-474-6442,Rapid River,MI,http://www.fs.fed.us/r9/forests/hiawatha/,YES,YES
Hiawatha NF - Sault Ste. Marie District,906-635-5311,Sault Ste. Marie,MI,http://www.fs.fed.us/r9/forests/hiawatha/,YES,YES
Hiawatha NF - St. Ignace District,906-643-7900,St. Ignace,MI,http://www.fs.fed.us/r9/forests/hiawatha/,YES,YES
Huron-Manistee NF - Baldwin/White Cloud Dist,231-745-4631,Baldwin,MI,http://www.fs.usda.gov/hmnf,YES,YES
Huron-Manistee NF - Cadillac/Manistee District,231-723-2211,Manistee,MI,http://www.fs.usda.gov/hmnf,YES,YES
Huron-Manistee NF - Huron Shores District,989-739-0728,Oscoda,MI,http://www.fs.usda.gov/hmnf,YES,YES
Huron-Manistee NF - Lumberman's Monument,989-362-8961,Oscoda,MI,http://www.fs.usda.gov/hmnf,YES,YES
Huron-Manistee NF - Main Office,800-821-6263,Cadillac,MI,http://www.fs.fed.us/r9/hmnf/index.shtml,YES,YES
Huron-Manistee NF - Mio District,989-826-3252,Mio,MI,http://www.fs.usda.gov/hmnf,YES,YES
Isle Royale National Park,906-482-0984,Houghton,MI,http://www.nps.gov/isro/,YES,YES
Ottawa NF - Iron River (Chamber of Commerce),906-265-5139,Iron River,MI,http://www.fs.fed.us/r9/ottawa/,YES,YES
Ottawa NF - Kenton Ranger District,906-852-3500,Kenton,MI,http://www.fs.fed.us/r9/ottawa/,YES,YES
Ottawa NF - Main Office,906-932-1330,Ironwood,MI,http://www.fs.fed.us/r9/ottawa/,YES,YES
Ottawa NF - Ontonagon Ranger District,906-884-2085,Ontonagon,MI,http://www.fs.fed.us/r9/ottawa/,YES,YES
Ottawa NF - Visitor Center,906-358-4724,Watersmeet,MI,http://www.fs.fed.us/r9/ottawa/,YES,YES
Ottawa NF - Watersmeet - Iron River RD,906-358-4551,Watersmeet,MI,http://www.fs.fed.us/r9/ottawa/,YES,YES
Pictured Rocks National Seashore,906-387-2607,Munising,MI,http://www.nps.gov/piro/,YES,YES
Seney National Wildlife Refuge,906-586-9851,Seney,MI,http://www.fws.gov/midwest/Seney/,NO,YES
Shiawassee National Wildlife Refuge,989-777-5930,Saginaw,MI,http://www.fws.gov/midwest/Shiawassee/,NO,YES
Sleeping Bear Dunes National Lakeshore,231-325-5881,Empire,MI,http://www.nps.gov/slbe/,YES,YES
Chippewa NF - Blackduck District,218-835-4291 ,Black Duck,MN,http://www.fs.fed.us/r9/forests/chippewa/,YES,YES
Chippewa NF - Main Office,218-335-8600,Cass Lake,MN,http://www.fs.fed.us/r9/forests/chippewa/,YES,YES
Chippewa NF - Marcell/Deer River District,218-246-2123,Deer River,MN,http://www.fs.fed.us/r9/forests/chippewa/,YES,YES
Chippewa NF - Walker District,218-547-1044,Walker,MN,http://www.fs.fed.us/r9/forests/chippewa/,YES,YES
Crosslake Recreation Area,651-290-5793,Crosslake,MN,http://www.mvp.usace.army.mil/Missions/Recreation/CrossLake.aspx,YES,YES
Detroit Lakes Wetland Management District,218-847-4431,Detroit Lakes,MN,http://www.fws.gov/midwest/DetroitLakes/,YES,YES
Duluth Harbor/Maritime Visitor Center,218-720-5260,Duluth,MN,http://www.lre.usace.army.mil/Missions/Recreation/LakeSuperiorMaritimeVisitorCenter.aspx,YES,YES
Grand Portage National Monument,218-475-0123,Grand Portage,MN,http://www.nps.gov/grpo/,YES,YES
Gull Lake Recreation Area,651-290-5772,Brainerd,MN,http://www.mvp.usace.army.mil/Missions/Recreation/GullLake.aspx,YES,YES
Lac qui Parle,320-269-6303,Watson,MN,http://www.mvp.usace.army.mil/Missions/Recreation/LacquiParle.aspx,YES,YES
Lake Traverse,320-563-4586,Wheaton,MN,http://www.mvp.usace.army.mil/Missions/Recreation/LakeTraverse.aspx,YES,YES
Leech Lake Recreation Area,218-654-3145,Federal Dam,MN,http://www.mvp.usace.army.mil/Missions/Recreation/LeechLake.aspx,YES,YES
Minnesota Private Lands Office,320-253-4682,Waite Park,MN,http://www.fws.gov/midwest/partners/minnesota.html,NO,YES
Minnesota Valley National Wildlife Refuge,952-854-5900,Bloomington,MN,http://www.fws.gov/midwest/MinnesotaValley/,YES,YES
Mississippi National River & Recreation Area,651-293-0200,St Paul,MN,http://www.nps.gov/miss/index.htm,YES,YES
Orwell Lake and Dam,218-736-6463,Fergus Falls,MN,http://www.mvp.usace.army.mil/Missions/Recreation/OrwellLake.aspx,YES,YES
Pipestone National Monument,507-825-5464,Pipestone,MN,http://www.nps.gov/pipe/,YES,YES
Pokegama Lake and Recreation Area,218-326-6128,Grand Rapids,MN,http://www.mvp.usace.army.mil/Missions/Recreation/PokegamaRecreationArea.aspx,YES,YES
Sandy Lake Recreation Area,218-426-3482,McGregor,MN,http://www.mvp.usace.army.mil/Missions/Recreation/SandyLake.aspx,YES,YES
Sherburne National Wildlife Refuge,763-389-3323,Zimmerman,MN,http://www.fws.gov/midwest/Sherburne/,NO,YES
Superior NF - Gunflint District,218-387-1750,Grand Marais,MN,http://www.fs.fed.us/r9/forests/superior/contact/,YES,YES
Superior NF - Isabella Station,218-323-7722,Isabella,MN,http://www.fs.fed.us/r9/forests/superior/contact/,YES,YES
Superior NF - Kawishiwi District,218-365-7600,Ely,MN,http://www.fs.fed.us/r9/forests/superior/contact/,YES,YES
Superior NF - LaCroix District,218-666-0020,Cook,MN,http://www.fs.fed.us/r9/forests/superior/contact/,YES,YES
Superior NF - Laurentian District,218-229-8800,Aurora,MN,http://www.fs.fed.us/r9/forests/superior/contact/,YES,YES
Superior NF - Main Office,218-626-4300,Duluth,MN,http://www.fs.fed.us/r9/forests/superior/contact/,YES,YES
Superior NF - Tofte District,218-663-7280,Tofte,MN,http://www.fs.fed.us/r9/forests/superior/contact/,YES,YES
Tamarac National Wildlife Refuge,218-847-2641,Rochert,MN,http://www.fws.gov/midwest/Tamarac/,NO,YES
Upper Mississippi River National Wildlife & Fish Refuge - Winona District,507-454-7351,Winona,MN,http://www.fws.gov/midwest/UpperMississippiRiver/,NO,YES
Voyageurs National Park,218-283-6600,International Falls,MN,http://www.nps.gov/voya/,YES,YES
Windom Wetland Management District,507-831-2220,Windom,MN,http://www.fws.gov/midwest/Windom/,NO,YES
Clearwater Lake,573-223-777,Piedmont,MO,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/ClearwaterLake.aspx,YES,YES
Harry S Truman National Historic Site,816-254-9929,Independence,MO,http://www.nps.gov/hstr/,YES,YES
Harry S. Truman Project,660-438-7317,Warsaw,MO,http://www.nwk.usace.army.mil/Locations/DistrictLakes/HarrySTrumanLake.aspx,YES,YES
Jefferson National Expansion Memorial,314-655-1700,St. Louis,MO,http://www.nps.gov/jeff/,YES,YES
Long Branch Project Office,660-385-2108,Macon,MO,http://www.nwk.usace.army.mil/Locations/DistrictLakes/LongBranchLake.aspx,YES,YES
Longview/Blue Springs Project,816-761-6194,Kansas City,MO,http://www.nwk.usace.army.mil/Locations/DistrictLakes/LongviewLake.aspx,YES,YES
Mark Twain Lake,573-735-4097,Monroe City,MO,http://www.mvs.usace.army.mil/Missions/Recreation/MarkTwainLake.aspx,YES,YES
Mark Twain NF - Ava/Cassville District,417-683-4428,Ava,MO,http://www.fs.fed.us/r9/forests/marktwain/contact/,YES,YES
Mark Twain NF - Eleven Point District,573-996-2153,Doniphan,MO,http://www.fs.fed.us/r9/forests/marktwain/contact/,YES,YES
Mark Twain NF - Houston/Cedar Creek District,417-967-4194,Houston,MO,http://www.fs.fed.us/r9/forests/marktwain/contact/,YES,YES
Mark Twain NF - Main Office,573-364-4621,Rolla,MO,http://www.fs.fed.us/r9/forests/marktwain/contact/,YES,YES
Mark Twain NF - Poplar Bluff District,573-785-1475,Poplar Bluff,MO,http://www.fs.fed.us/r9/forests/marktwain/contact/,YES,YES
Mark Twain NF - Potosi/Fredericktown District,573-438-5427,Potosi,MO,http://www.fs.fed.us/r9/forests/marktwain/contact/,YES,YES
Mark Twain NF - Salem District,573-729-6656,Salem,MO,http://www.fs.fed.us/r9/forests/marktwain/contact/,YES,YES
Mingo National Wildlife Refuge,573-222-3589,Puxico,MO,http://www.fws.gov/midwest/Mingo/,YES,YES
Neosho National Fish Hatchery,417-451-0554,Neosho,MO,http://www.fws.gov/midwest/Neosho/,NO,YES
Ozark National Scenic Riverways,573-323-4236,Van Buren,MO,http://www.nps.gov/ozar,YES,YES
Pomme de Terre Lake Project,417-745-6411,Hermitage,MO,http://www.nwk.usace.army.mil/Locations/DistrictLakes/PommedeTerreLake.aspx,YES,YES
Rivers Project Office,636-899-2600,West Alton,MO,http://www.mvs.usace.army.mil/Missions/Recreation/RiversProjectOffice.aspx,YES,YES
Smithville Lake Project,816-532-0174,Smithville,MO,http://www.nwk.usace.army.mil/Locations/DistrictLakes/SmithvilleLake.aspx,YES,YES
Stockton Lake Project,417-276-3113,Stockton,MO,http://www.nwk.usace.army.mil/Locations/DistrictLakes/StocktonLake.aspx,YES,YES
Table Rock Lake,501-340-1950,Branson,MO,http://www.swl.usace.army.mil/Missions/Recreation/Lakes/TableRockLake.aspx,YES,YES
Ulysses S Grant National Historic Site,314-842-3298,St. Louis,MO,http://www.nps.gov/ulsg/,YES,YES
Wappapello Lake,573-222-8562,Wappapello,MO,http://www.mvs.usace.army.mil/Missions/Recreation/WappapelloLake.aspx,YES,YES
Wilson's Creek National Battlefield,417-732-2662,Republic,MO,http://www.nps.gov/wicr/,YES,YES
Arkabutla Lake,662-562-6261,Coldwater,MS,http://www.mvk.usace.army.mil/Missions/Recreation/ArkabutlaLake.aspx,YES,YES
Bienville NF - Chickasawhay District,601-428-0594,Laurel,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
Bienville NF - Main Office,601-469-3811,Forest,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
De Soto NF - Main Office,601-528-6160,Wiggins,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
Delta NF - Main Office,662-828-3409,Rolling Fork,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
Enid Lake,662-563-4571,Enid,MS,http://www.mvk.usace.army.mil/Missions/Recreation/EnidLake.aspx,YES,YES
Grenada Lake,662-226-5911,Grenada,MS,http://www.mvk.usace.army.mil/Missions/Recreation/GrenadaLake.aspx,YES,YES
Gulf Islands National Seashore,228-875-9057,Ocean Springs,MS,http://www.nps.gov/guis/,YES,YES
Holly Springs NF - Main Office,662-236-6550,Oxford,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
Homochitto NF - Main Office,601-384-5876,Meadville,MS,http://www.fs.fed.us/r8/mississippi/contact/index.shtml,YES,YES
Natchez National Historical Park,601-446-8601,Natchez,MS,http://www.nps.gov/natc/,NO,YES
Okatibbee,601-626-8431,Collinsville,MS,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/OkatibbeeLake.aspx,YES,YES
Sam D. Hamilton Noxubee NWR,662-323-5548,Brooksville,MS,http://www.fws.gov/refuge/noxubee/,YES,YES
Sardis Lake,662-563-4531,Sardis,MS,http://www.mvk.usace.army.mil/Missions/Recreation/SardisLake.aspx,YES,YES
St. Catherine Creek NWR,601-442-6696,Sibley,MS,http://www.fws.gov/saintcatherinecreek/,YES,YES
Tenn-Tom Waterway (BSSO),662-423-1287,Dennis,MS,http://www.sam.usace.army.mil/Missions/CivilWorks/Recreation/TennesseeTombigbeeWaterway.aspx,YES,YES
